input,output
नमस्ते! आप कैसे हैं?,"नमस्ते! मैं ठीक हूँ, धन्यवाद। आप कैसे हैं?"
शुभ संध्या! क्या हाल है?,"शुभ संध्या! सब ठीक है, धन्यवाद। आपका दिन कैसा रहा?"
अरे! क्या चल रहा है?,"अरे! कुछ खास नहीं, बस थोड़ा आराम कर रहा हूँ। तुम बताओ।"
"नमस्ते, मिलकर खुशी हुई!","नमस्ते, मुझे भी आपसे मिलकर बहुत खुशी हुई!"
"नमस्कार, आपका स्वागत है!","धन्यवाद, आपका भी स्वागत है!"
"माफ कीजिएगा, क्या आप मुझे रास्ता बता सकते हैं?","ज़रूर, मैं आपकी मदद कर सकता हूँ। आपको कहाँ जाना है?"
धन्यवाद! आपकी मदद के लिए मैं आभारी हूँ।,"कोई बात नहीं, मुझे खुशी है कि मैं मदद कर पाया।"
"मुझे माफ करना, मैंने आपको परेशान किया।","कोई बात नहीं, बिल्कुल भी नहीं।"
आपका नाम क्या है?,मेरा नाम [अपना नाम] है। आपका क्या नाम है?
आप कहाँ से हैं?,मैं [अपने शहर/देश] से हूँ। आप कहाँ से हैं?
मौसम कैसा है?,आज मौसम बहुत सुहावना है!
आप क्या करते हैं?,मैं [अपना व्यवसाय/अध्ययन] करता हूँ। आप क्या करते हैं?
क्या आप हिंदी बोल सकते हैं?,"हाँ, मैं थोड़ी हिंदी बोल सकता हूँ।"
आपका पसंदीदा रंग कौन सा है?,मेरा पसंदीदा रंग नीला है। आपका कौन सा है?
आप क्या पढ़ना पसंद करते हैं?,मुझे उपन्यास पढ़ना पसंद है। आपको क्या पसंद है?
क्या आप संगीत सुनते हैं?,"हाँ, मुझे संगीत सुनना बहुत पसंद है। आप क्या सुनते हैं?"
यह जगह बहुत सुंदर है!,"हाँ, बिल्कुल! मुझे भी यह बहुत पसंद है।"
मैं बहुत खुश हूँ आपसे मिलकर।,मुझे भी बहुत खुशी हुई आपसे मिलकर।
शुभ रात्रि! अच्छे सपने देखना!,शुभ रात्रि! आपको भी अच्छे सपने आएं!
फिर मिलेंगे!,"ज़रूर, जल्द ही मिलेंगे!"
नमस्ते! आपका क्या हाल है?,"नमस्ते! मैं ठीक हूँ, धन्यवाद। आप कैसे हैं?"
शुभ प्रभात! आज मौसम कैसा है?,"शुभ प्रभात! मौसम बहुत सुहावना है, धूप निकली हुई है।"
नमस्कार! मिलकर बहुत खुशी हुई।,नमस्कार! मुझे भी आपसे मिलकर बहुत खुशी हुई।
आप कैसे हैं?,"मैं ठीक हूँ, धन्यवाद। और आप?"
