input_te,output_te,input_en,output_en
నమస్కారం! మీరు ఎలా ఉన్నారు?,"నమస్కారం! నేను బాగున్నాను, మీరు ఎలా ఉన్నారు?",Hello! How are you?,"Hello! I am fine, how are you?"
గుడ్ మార్నింగ్! ఈ రోజు వాతావరణం చాలా బాగుంది కదా?,"గుడ్ మార్నింగ్! నిజమే, చాలా ఆహ్లాదకరంగా ఉంది.","Good morning! The weather is very nice today, isn't it?","Good morning! Indeed, it is very pleasant."
మీ పేరు ఏమిటి?,నా పేరు రాము. మీ పేరు ఏమిటి?,What is your name?,My name is Ramu. What is your name?
మిమ్మల్ని కలిసినందుకు చాలా సంతోషంగా ఉంది.,నాకు కూడా చాలా సంతోషంగా ఉంది.,I am very happy to meet you.,I am also very happy.
ధన్యవాదాలు!,పరవాలేదు.,Thank you!,You're welcome.
"క్షమించండి, నేను ఆలస్యంగా వచ్చాను.","పరవాలేదు, ఏం పర్వాలేదు.","Sorry, I am late.","It's okay, no problem."
మీరు ఎక్కడ పని చేస్తారు?,నేను ఒక సాఫ్ట్‌వేర్ కంపెనీలో పని చేస్తాను.,Where do you work?,I work in a software company.
మీరు ఏమి చదువుతున్నారు?,నేను ఇంజనీరింగ్ చదువుతున్నాను.,What are you studying?,I am studying engineering.
టీ తాగుతారా?,"తప్పకుండా, ధన్యవాదాలు.",Would you like to have tea?,"Certainly, thank you."
ఇది ఏమిటో తెలుసా?,"క్షమించండి, నాకు తెలియదు.",Do you know what this is?,"Sorry, I don't know."
శుభ సాయంత్రం!,శుభ సాయంత్రం! ఏం చేస్తున్నారు?,Good evening!,Good evening! What are you doing?
రేపు కలుద్దాం!,"సరే, రేపు కలుద్దాం!",Let's meet tomorrow!,"Okay, let's meet tomorrow!"
భోజనం చేశారా?,"అవును, చేశాను. మీరు చేశారా?",Have you had lunch?,"Yes, I have. Have you?"
ఇది చాలా బాగుంది!,"అవును, నిజంగా చాలా బాగుంది.",This is very nice!,"Yes, it is really very nice."
మీరు ఎక్కడి నుండి వచ్చారు?,నేను హైదరాబాద్ నుండి వచ్చాను.,Where are you from?,I am from Hyderabad.
మీకు ఏ భాషలు తెలుసు?,"నాకు తెలుగు, ఇంగ్లీష్ తెలుసు.",What languages do you know?,I know Telugu and English.
మీరు ఏం చేస్తున్నారు?,నేను సినిమా చూస్తున్నాను.,What are you doing?,I am watching a movie.
ఇక్కడ దగ్గరలో మంచి రెస్టారెంట్ ఉందా?,"అవును, అక్కడ ఒక మంచి రెస్టారెంట్ ఉంది.",Is there a good restaurant nearby?,"Yes, there is a good restaurant over there."
సెలవులు ఎలా ఉన్నాయి?,సెలవులు చాలా బాగున్నాయి.,How are the holidays going?,The holidays are going very well.
బై చెప్పండి!,"సరే, బై!",Say goodbye!,"Okay, bye!"
నమస్కారం! ఎలా ఉన్నారు?,నమస్కారం! నేను బాగున్నాను. మీరు ఎలా ఉన్నారు?,Hello! How are you?,Hello! I am fine. How are you?
గుడ్ మార్నింగ్! ఏం చేస్తున్నారు?,గుడ్ మార్నింగ్! టీ తాగుతున్నాను. మీరు?,Good morning! What are you doing?,Good morning! I'm having tea. And you?
మీరు ఎలా ఉన్నారు?,నేను బాగానే ఉన్నాను. ధన్యవాదాలు. మీరు?,How are you?,I am fine. Thank you. And you?
బాగుంది!,"అవును, నిజంగా బాగుంది!",That's good!,"Yes, it's really good!"
మళ్ళీ కలుద్దాం!,తప్పకుండా! మళ్ళీ కలుద్దాం.,Let's meet again!,Definitely! Let's meet again.
ధన్యవాదాలు!,పరవాలేదు.,Thank you!,You're welcome.
క్షమించండి!,పర్లేదు.,Excuse me/Sorry!,It's okay.
మీ పేరు ఏమిటి?,నా పేరు రాము. మీరేంటి?,What is your name?,My name is Ramu. What's yours?
మీరు ఏమి చేస్తారు?,నేను ఒక ఇంజనీర్.,What do you do?,I am an engineer.
వాతావరణం ఎలా ఉంది?,ఈరోజు చాలా వేడిగా ఉంది.,How is the weather?,It is very hot today.
మీ ఊరు ఏది?,నా ఊరు హైదరాబాద్.,Which is your hometown?,My hometown is Hyderabad.
ఇది చాలా మంచిది.,"అవును, నిజంగానే చాలా మంచిది.",This is very nice.,"Yes, it is indeed very nice."
మీకు టీ కావాలా?,"అవును, నాకు టీ కావాలి. ధన్యవాదాలు.",Do you want tea?,"Yes, I want tea. Thank you."
మీకు ఇష్టమైన రంగు ఏమిటి?,నాకు ఇష్టమైన రంగు నీలం.,What is your favorite color?,My favorite color is blue.
గుడ్ ఈవెనింగ్!,గుడ్ ఈవెనింగ్! ఎలా ఉన్నారు?,Good evening!,Good evening! How are you?
సెలవులు ఎలా ఉన్నాయి?,సెలవులు చాలా బాగున్నాయి.,How are the holidays?,The holidays are very good.
మీరు భోజనం చేశారా?,"అవును, నేను భోజనం చేశాను. మీరు?",Did you have lunch/dinner?,"Yes, I had lunch/dinner. And you?"
మీకు సినిమాలు ఇష్టమా?,"అవును, నాకు సినిమాలు చాలా ఇష్టం.",Do you like movies?,"Yes, I like movies very much."
సంతోషంగా ఉండండి!,మీరు కూడా సంతోషంగా ఉండండి!,Be happy!,You also be happy!
శుభరాత్రి!,మీకు కూడా శుభరాత్రి!,Good night!,Good night to you too!
నమస్కారం! ఎలా ఉన్నారు?,"బాగున్నాను, మీరు ఎలా ఉన్నారు?",Hello! How are you?,"I am fine, how are you?"
శుభోదయం!,మీకు కూడా శుభోదయం!,Good morning!,Good morning to you too!
శుభరాత్రి!,మీకు కూడా శుభరాత్రి!,Good night!,Good night to you too!
మీ పేరు ఏమిటి?,నా పేరు రాము.,What is your name?,My name is Ramu.
మిమ్మల్ని కలిసినందుకు సంతోషంగా ఉంది.,నాకు కూడా సంతోషంగా ఉంది.,Nice to meet you.,Nice to meet you too.
ధన్యవాదాలు!,పర్వాలేదు.,Thank you!,You're welcome.
"క్షమించండి, కొంచెం సహాయం చేస్తారా?","తప్పకుండా, ఏం కావాలి?","Excuse me, can you help me a little?","Sure, what do you need?"
అంతా బాగానే ఉందా?,"అవును, అంతా బాగానే ఉంది.",Is everything alright?,"Yes, everything is alright."
వాతావరణం ఎలా ఉంది?,చాలా వేడిగా ఉంది.,How is the weather?,It's very hot.
మీరు ఏమి చేస్తున్నారు?,నేను పని చేస్తున్నాను.,What are you doing?,I am working.
మీరు ఎక్కడి నుండి వచ్చారు?,నేను హైదరాబాద్ నుండి వచ్చాను.,Where are you from?,I am from Hyderabad.
మీరు ఏమి చదువుతున్నారు?,నేను ఇంజనీరింగ్ చదువుతున్నాను.,What are you studying?,I am studying engineering.
మీరు ఏమి పని చేస్తున్నారు?,నేను ఒక సాఫ్ట్‌వేర్ ఇంజనీర్.,What do you work as?,I am a software engineer.
మళ్ళీ కలుద్దాం!,"తప్పకుండా, మళ్ళీ కలుద్దాం!",Let's meet again!,"Definitely, let's meet again!"
"బయటకు వెళ్తున్నాను, ఉంటాను.","సరే, జాగ్రత్తగా వెళ్ళండి.","I'm going out, see you later.","Okay, go carefully."
నేను చాలా అలసిపోయాను.,కాసేపు విశ్రాంతి తీసుకోండి.,I am very tired.,Take some rest.
ఇది చాలా బాగుంది!,"అవును, ఇది చాలా బాగుంది.",This is very good!,"Yes, this is very good."
మీకు టీ కావాలా?,"అవును, కొంచెం టీ కావాలి.",Do you want tea?,"Yes, I want some tea."
మీరు భోజనం చేశారా?,"లేదు, ఇంకా లేదు.",Have you had lunch?,"No, not yet."
మీకు సెలవులు ఎలా ఉన్నాయి?,చాలా బాగా ఉన్నాయి.,How were your holidays?,They were very good.
నమస్కారం! ఎలా ఉన్నారు?,"నేను బాగున్నాను, ధన్యవాదాలు! మీరు ఎలా ఉన్నారు?",Hello! How are you?,"I am fine, thank you! And how are you?"
గుడ్ మార్నింగ్!,గుడ్ మార్నింగ్!,Good morning!,Good morning!
గుడ్ ఈవెనింగ్!,గుడ్ ఈవెనింగ్!,Good evening!,Good evening!
మీ పేరు ఏమిటి?,నా పేరు రాము.,What is your name?,My name is Ramu.
కలిసినందుకు సంతోషంగా ఉంది.,నాకు కూడా సంతోషంగా ఉంది.,Pleased to meet you.,Pleased to meet you too.
ధన్యవాదాలు.,పరవాలేదు.,Thank you.,You're welcome.
క్షమించండి.,పరవాలేదు.,Excuse me / Sorry.,That's alright.
ఈ రోజు వాతావరణం ఎలా ఉంది?,ఈ రోజు చాలా వేడిగా ఉంది.,How is the weather today?,It is very hot today.
మీరు ఎక్కడ నుండి వచ్చారు?,నేను హైదరాబాద్ నుండి వచ్చాను.,Where are you from?,I am from Hyderabad.
మీరు ఏమి చేస్తున్నారు?,నేను చదువుతున్నాను.,What are you doing?,I am studying.
మళ్ళీ కలుద్దాం.,"ఖచ్చితంగా, మళ్ళీ కలుద్దాం.",See you again.,"Sure, see you again."
శుభ సాయంత్రం.,శుభ సాయంత్రం.,Good evening.,Good evening.
ఇది ఏమిటి?,ఇది ఒక పుస్తకం.,What is this?,This is a book.
భోజనం చేశారా?,"లేదు, ఇంకా చేయలేదు.",Have you had lunch?,"No, not yet."
అంతా బాగానే ఉంది కదా?,"అవును, అంతా బాగానే ఉంది.","Everything is alright, right?","Yes, everything is alright."
మీ ఊరు ఏమిటి?,మా ఊరు విజయవాడ.,What is your hometown?,Our hometown is Vijayawada.
సెలవులు ఎలా ఉన్నాయి?,సెలవులు చాలా బాగున్నాయి.,How are the holidays?,The holidays are very good.
"క్షమించండి, నాకు అర్థం కాలేదు.","సరే, మళ్ళీ చెబుతాను.","Sorry, I didn't understand.","Okay, I'll say it again."
మీరు టీ తాగుతారా?,"అవును, నేను టీ తాగుతాను.",Do you drink tea?,"Yes, I drink tea."
మీరు సినిమా చూస్తారా?,"అవును, నాకు సినిమాలు చూడటం ఇష్టం.",Do you watch movies?,"Yes, I like watching movies."
