input,output
வணக்கம்! எப்படி இருக்கீங்க?,வணக்கம்! நான் நல்லா இருக்கேன். நீங்க எப்படி இருக்கீங்க?
"நல்லா இருக்கேன், நன்றி. சாப்பாடு சாப்பிட்டீங்களா?",இன்னும் இல்ல. நீங்க சாப்பிட்டீங்களா?
"ஆமா, சாப்பிட்டேன். என்ன சாப்பிட்டீங்க?",நான் இட்லி சாப்பிட்டேன். நீங்க என்ன சாப்பிட்டீங்க?
நான் தோசை சாப்பிட்டேன். இன்னைக்கு வெயில் அதிகமா இருக்கு இல்ல?,"ஆமா, ரொம்ப வெயில் அடிக்குது. கொஞ்ச நேரம் கழிச்சு மழை வர மாதிரி இருக்கு."
பாப்போம். உங்க குடும்பம் எப்படி இருக்காங்க?,எல்லோரும் நல்லா இருக்காங்க. உங்க குடும்பம் நல்லா இருக்காங்களா?
எல்லோரும் நல்லா இருக்காங்க. வேலை எப்படி போகுது?,வேலை பரவாயில்லை. உங்க வேலை எப்படி போகுது?
சரியா போகுது. ஏதாவது உதவி வேணுமா?,"இல்ல, நன்றி. உதவி தேவைப்பட்டா கேக்குறேன்."
சரி. நாளைக்கு பார்க்கலாம்.,சரி. நாளைக்கு பார்க்கலாம்.
போயிட்டு வாங்க!,"சரி, நீங்களும் பத்திரமா போயிட்டு வாங்க!"
ரொம்ப சந்தோஷம் உங்களை பார்த்து.,எனக்கும் ரொம்ப சந்தோஷம்.
வணக்கம் மாமா/அத்தை!,வணக்கம்! எப்படி இருக்கீங்க?
எப்படி இருக்கீங்க அண்ணா/அக்கா?,நல்லா இருக்கேன் தம்பி/தங்கை. நீ எப்படி இருக்க?
வாங்க வாங்க! என்ன விசேஷம்?,"ஒன்னும் இல்ல, சும்மாதான் வந்தேன்."
நீங்க ஊருக்கு போயிட்டு வந்தீங்களா?,"ஆமா, போயிட்டு வந்தேன். ரொம்ப நல்லா இருந்தது."
சினிமாக்கு போலாமா?,நிச்சயமா போலாம். என்ன படம் பார்க்கலாம்?
சாயா காப்பி சாப்பிடலாமா?,சரியா போச்சு! நான் காப்பி சாப்பிடறேன்.
உங்க பேரு என்ன?,என் பேரு ராமு. உங்க பேரு என்ன?
"மன்னிச்சிடுங்க, எனக்கு கொஞ்சம் வேலை இருக்கு. நான் கிளம்புறேன்.","சரி, போயிட்டு வாங்க. திரும்ப வாங்க."
நீங்க எங்க இருக்கீங்க?,நான் சென்னையில இருக்கேன். நீங்க எங்க இருக்கீங்க?
குழந்தைங்க நல்லா இருக்காங்களா?,குழந்தைங்க எல்லாரும் நல்லா இருக்காங்க. உங்க குழந்தைங்க எப்படி இருக்காங்க?
வணக்கம்! எப்படி இருக்கீங்க?,வணக்கம்! நான் நல்லா இருக்கேன். நீங்க எப்படி இருக்கீங்க?
நல்லா இருக்கேன். உங்க வேலை எப்படி போகுது?,பரவாயில்லை. கொஞ்சம் பிஸியா இருக்கு. உங்க வேலை எப்படி இருக்கு?
என் வேலையும் நல்லா இருக்கு. ஒரு டீ சாப்பிடலாமா?,தாராளமா! வாங்க டீ சாப்பிடலாம்.
சௌக்கியமா இருக்கீங்களா?,சௌக்கியமா இருக்கேன். நீங்க சௌக்கியமா?
"ஆமா, நான் சௌக்கியமா இருக்கேன். நன்றி.",சந்தோஷம்.
என்ன விசேஷம்?,ஒன்னும் இல்ல. சும்மா தான் இருக்கேன். நீங்க சொல்லுங்க?
வீட்ல எல்லாரும் எப்படி இருக்காங்க?,வீட்ல எல்லாரும் நல்லா இருக்காங்க. உங்க வீட்ல எல்லாரும் சௌக்கியமா?
"ஆமா, என் வீட்ல எல்லாரும் சௌக்கியமா இருக்காங்க.",சந்தோஷம்!
பாத்து ரொம்ப நாள் ஆச்சு!,"ஆமா, ரொம்ப நாள் ஆச்சு. எப்படி இருக்கீங்க?"
நான் நல்லா இருக்கேன். உங்க குடும்பம் எப்படி இருக்கு?,என் குடும்பமும் நல்லா இருக்கு. நன்றி.
போய்ட்டு வரேன்!,சரிங்க! போய்ட்டு வாங்க.
நாளைக்கு சந்திப்போமா?,சந்திப்போம். கண்டிப்பா.
உங்களை சந்திச்சதுல சந்தோஷம்.,எனக்கும் சந்தோஷம்.
உங்க பேர் என்ன?,என் பேர் ராமு. உங்க பேர் என்ன?
என் பேர் சீதா.,"ரொம்ப சந்தோஷம், சீதா."
இது என்ன இடம்?,இது மெரினா கடற்கரை.
நல்லா இருக்கீங்களா?,நல்லா இருக்கேன். நீங்க நல்லா இருக்கீங்களா?
ரொம்ப நன்றி.,பரவாயில்லை. ஒன்னும் பிரச்சனை இல்ல.
உங்களுக்கு என்ன வேணும்?,எனக்கு ஒரு காபி வேணும்.
